Ticker,Name,Sector,Industry,MarketCap,CapBucket
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,15292716032.0,Large
DELL,Dell Technologies Inc.,Technology,Computer Hardware,86616678400.0,Large
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,30341183488.0,Large
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,19674216448.0,Large
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,42734301184.0,Large
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,164920999936.0,Large
DIS,Walt Disney Company (The),Communication Services,Entertainment,204173361152.0,Large
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,54207700992.0,Large
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,25281812480.0,Large
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,11195641856.0,Large
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,27451215872.0,Large
DOW,Dow Inc.,Basic Materials,Chemicals,16553772032.0,Large
DPZ,Domino's Pizza Inc,Consumer Cyclical,Restaurants,14447302656.0,Large
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,21962981376.0,Large
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,26801491968.0,Large
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,91126341632.0,Large
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,8149570048.0,Mid
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,22643314688.0,Large
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,26497931264.0,Large
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,51219230720.0,Large
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,38940971008.0,Large
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,75373314048.0,Large
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,35840909312.0,Large
EFX,"Equifax, Inc.",Industrials,Consulting Services,27357208576.0,Large
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,14168853504.0,Large
EIX,Edison International,Utilities,Utilities - Regulated Electric,22901471232.0,Large
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products,38792781824.0,Large
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,78785388544.0,Large
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,28072226816.0,Large
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,76310020096.0,Large
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,56510316544.0,Large
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,11774884864.0,Large
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,74945437696.0,Large
EQR,Equity Residential,Real Estate,REIT - Residential,24829818880.0,Large
EQT,EQT Corporation,Energy,Oil & Gas E&P,33656141824.0,Large
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,14766658560.0,Large
ES,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric,25227718656.0,Large
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,18106990592.0,Large
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,125420789760.0,Large
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,41466519552.0,Large
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,16752681984.0,Large
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,50989637632.0,Large
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,43995045888.0,Large
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,26077200384.0,Large
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,20661788672.0,Large
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,35575652352.0,Large
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,28983252992.0,Large
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,53033680896.0,Large
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,42354712576.0,Large
FAST,Fastenal Company,Industrials,Industrial Distribution,47712366592.0,Large
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,76161761280.0,Large
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,11044493312.0,Large
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,69920677888.0,Large
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,25908297728.0,Large
FFIV,"F5, Inc.",Technology,Software - Infrastructure,15285702656.0,Large
FICO,Fair Isaac Corporation,Technology,Software - Application,42082967552.0,Large
FIS,Fidelity National Information S,Technology,Information Technology Services,35098619904.0,Large
FISV,"Fiserv, Inc.",,,36692537344.0,Large
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,32001179648.0,Large
FOX,Fox Corporation,Communication Services,Entertainment,30807105536.0,Large
FOXA,Fox Corporation,Communication Services,Entertainment,32984944640.0,Large
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8883902464.0,Mid
FSLR,"First Solar, Inc.",Technology,Solar,28939933696.0,Large
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,62496657408.0,Large
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,18841950208.0,Large
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,92435218432.0,Large
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,17592717312.0,Large
GE,GE Aerospace,Industrials,Aerospace & Defense,334186872832.0,Large
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,38173151232.0,Large
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,17126206464.0,Large
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,180609695744.0,Large
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,154728611840.0,Large
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,25105037312.0,Large
GL,Globe Life Inc.,Financial Services,Insurance - Life,11519513600.0,Large
GLW,Corning Incorporated,Technology,Electronic Components,76793765888.0,Large
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,79079579648.0,Large
GNRC,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery,8248631808.0,Mid
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3802144702464.0,Large
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3797271445504.0,Large
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,17514012672.0,Large
GPN,Global Payments Inc.,Industrials,Specialty Business Services,19493480448.0,Large
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,39559430144.0,Large
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,274580127744.0,Large
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,48993611776.0,Large
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,23838754816.0,Large
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,11586224128.0,Large
HBAN,Huntington Bancshares Incorpora,Financial Services,Banks - Regional,27937007616.0,Large
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,111645319168.0,Large
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,348210003968.0,Large
HIG,"The Hartford Insurance Group, I",Financial Services,Insurance - Property & Casualty,38675103744.0,Large
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,13778844672.0,Large
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,69024669696.0,Large
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,16618384384.0,Large
HON,Honeywell International Inc.,Industrials,Conglomerates,133001658368.0,Large
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,106221174784.0,Large
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,32682715136.0,Large
HPQ,HP Inc.,Technology,Computer Hardware,21741164544.0,Large
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,13345602560.0,Large
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,9232162816.0,Mid
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,12844869632.0,Large
HSY,The Hershey Company,Consumer Defensive,Confectioners,37353017344.0,Large
HUBB,Hubbell Inc,Industrials,Electrical Equipment & Parts,24177674240.0,Large
HUM,Humana Inc.,Healthcare,Healthcare Plans,31130277888.0,Large
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,85016051712.0,Large
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,112467869696.0,Large
IBM,International Business Machines,Technology,Information Technology Services,285178363904.0,Large
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,93602627584.0,Large
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,55081631744.0,Large
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,13575803904.0,Large
IFF,International Flavors & Fragran,Basic Materials,Specialty Chemicals,17291689984.0,Large
INCY,Incyte Corporation,Healthcare,Biotechnology,19653865472.0,Large
INTC,Intel Corporation,Technology,Semiconductors,172674007040.0,Large
INTU,Intuit Inc.,Technology,Software - Application,188351512576.0,Large
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,16827416576.0,Large
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,21063448576.0,Large
IQV,"IQVIA Holdings, Inc.",Healthcare,Diagnostics & Research,38644473856.0,Large
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,32304939008.0,Large
IRM,Iron Mountain Incorporated (Del,Real Estate,REIT - Specialty,24235382784.0,Large
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,207131312128.0,Large
IT,"Gartner, Inc.",Technology,Information Technology Services,19131619328.0,Large
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,73592094720.0,Large
IVZ,Invesco Ltd,Financial Services,Asset Management,12023183360.0,Large
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,16064386048.0,Large
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics,19193360384.0,Large
JBL,Jabil Inc.,Technology,Electronic Components,25225363456.0,Large
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,79874285568.0,Large
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,13525174272.0,Large
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,500241956864.0,Large
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,901671813120.0,Large
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,38176186368.0,Large
KEY,KeyCorp,Financial Services,Banks - Regional,23158966272.0,Large
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,35401199616.0,Large
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,28561606656.0,Large
KIM,Kimco Realty Corporation (HC),Real Estate,REIT - Retail,13787693056.0,Large
KKR,KKR & Co. Inc.,Financial Services,Asset Management,120749490176.0,Large
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,168503525376.0,Large
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,33521205248.0,Large
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,60491235328.0,Large
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,300697223168.0,Large
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,41914396672.0,Large
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,32934404096.0,Large
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,22070169600.0,Large
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,23845343232.0,Large
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,25907253248.0,Large
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,21098258432.0,Large
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,55524122624.0,Large
LII,"Lennox International, Inc.",Industrials,Building Products & Equipment,17497511936.0,Large
LIN,Linde plc,Basic Materials,Specialty Chemicals,199205289984.0,Large
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,7875744768.0,Mid
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,966156288000.0,Large
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,112770629632.0,Large
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,16770182144.0,Large
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,137147031552.0,Large
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,224552042496.0,Large
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,24781576192.0,Large
LUV,Southwest Airlines Company,Industrials,Airlines,21679749120.0,Large
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,45443227648.0,Large
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,5873707008.0,Mid
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,13921005568.0,Large
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,33858428928.0,Large
MA,Mastercard Incorporated,Financial Services,Credit Services,523965235200.0,Large
MAA,Mid-America Apartment Communiti,Real Estate,REIT - Residential,16540326912.0,Large
MAR,Marriott International,Consumer Cyclical,Lodging,85666660352.0,Large
MAS,Masco Corporation,Industrials,Building Products & Equipment,13554201600.0,Large
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,221702619136.0,Large
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,35096621056.0,Large
MCK,McKesson Corporation,Healthcare,Medical Distribution,103022616576.0,Large
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,93273661440.0,Large
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,70701178880.0,Large
MDT,Medtronic plc.,Healthcare,Medical Devices,123798102016.0,Large
MET,"MetLife, Inc.",Financial Services,Insurance - Life,53401591808.0,Large
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1671840661504.0,Large
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,10305722368.0,Large
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",6848800768.0,Mid
MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods,18499135488.0,Large
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,38898712576.0,Large
MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers,91933696000.0,Large
MMM,3M Company,Industrials,Conglomerates,86328623104.0,Large
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,75533508608.0,Large
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,96761716736.0,Large
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,8934327296.0,Mid
MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,7716185088.0,Mid
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,49765085184.0,Large
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,45335351296.0,Large
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,266713300992.0,Large
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,12190889984.0,Large
MS,Morgan Stanley,Financial Services,Capital Markets,290325561344.0,Large
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,45257887744.0,Large
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3625229484032.0,Large
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,62816329728.0,Large
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,32391499776.0,Large
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,7829844992.0,Mid
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research,29252696064.0,Large
MU,"Micron Technology, Inc.",Technology,Semiconductors,320533790720.0,Large
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,10384422912.0,Large
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,57006559232.0,Large
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,13620379648.0,Large
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,167462649856.0,Large
NEM,Newmont Corporation,Basic Materials,Gold,116194000896.0,Large
NFLX,"Netflix, Inc.",Communication Services,Entertainment,400299950080.0,Large
NI,NiSource Inc,Utilities,Utilities - Regulated Gas,19743262720.0,Large
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,90066804736.0,Large
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,82669551616.0,Large
NOW,"ServiceNow, Inc.",Technology,Software - Application,159797952512.0,Large
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,31119149056.0,Large
NSC,Norfolk Southern Corporation,Industrials,Railroads,65287528448.0,Large
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,22059827200.0,Large
