Ticker,Name,Sector,Industry,MarketCap,CapBucket
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,643941376.0,Small
AEI,Alset Inc.,Real Estate,Real Estate - Development,99597456.0,Micro
AEIS,"Advanced Energy Industries, Inc",Industrials,Electrical Equipment & Parts,8223232000.0,Mid
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,2487992.0,Micro
AENT,Alliance Entertainment Holding ,Communication Services,Entertainment,857700480.0,Small
AENTW,Adara Acquisition Corp. Redeema,,,,Unknown
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,61914169344.0,Large
AERT,"Aeries Technology, Inc.",Industrials,Consulting Services,26141672.0,Micro
AERTW,"Aeries Technology, Inc",,,,Unknown
AEVA,"Aeva Technologies, Inc.",Technology,Software - Infrastructure,794256384.0,Small
AEVAW,"Aeva Technologies, Inc. Warrant",,,,Unknown
AEYE,"AudioEye, Inc.",Technology,Software - Application,132755008.0,Micro
AFBI,"Affinity Bancshares, Inc.",Financial Services,Banks - Regional,132895976.0,Micro
AFCG,Advanced Flower Capital Inc.,Real Estate,REIT - Mortgage,70043080.0,Micro
AFJK,"Aimei Health Technology Co., Lt",Financial Services,Shell Companies,269478688.0,Micro
AFJKR,"Aimei Health Technology Co., Lt",,,,Unknown
AFJKU,"Aimei Health Technology Co., Lt",Financial Services,Shell Companies,,Unknown
AFOS,ARS Focused Opportunity Strateg,,,,Unknown
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,285963936.0,Micro
AFRIW,Forafric Global PLC Warrants,,,,Unknown
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,25022881792.0,Large
AFSC,abrdn Focused U.S. Small Cap Ac,,,,Unknown
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,1357624704.0,Small
AGAE,Allied Gaming & Entertainment I,Communication Services,Entertainment,16382337.0,Micro
AGCC,Agencia Comercial Spirits Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,193795872.0,Micro
AGEM,abrdn Emerging Markets Dividend,,,,Unknown
AGEN,Agenus Inc.,Healthcare,Biotechnology,112567632.0,Micro
AGGA,EA Astoria Dynamic Core US Fixe,,,,Unknown
AGH,Aureus Greenway Holdings Inc.,Consumer Cyclical,Leisure,60074624.0,Micro
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,1633953024.0,Small
AGIX,KraneShares Artificial Intellig,,,,Unknown
AGMH,AGM Group Holdings Inc.,Technology,Computer Hardware,4033471.0,Micro
AGMI,Themes Silver Miners ETF,,,,Unknown
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,11639056384.0,Large
AGNCL,AGNC Investment Corp. - Deposit,Real Estate,REIT - Mortgage,,Unknown
AGNCM,AGNC Investment Corp. - Deposit,Real Estate,REIT - Mortgage,8915814400.0,Mid
AGNCN,AGNC Investment Corp. - Deposit,Real Estate,REIT - Mortgage,8826691584.0,Mid
AGNCO,AGNC Investment Corp. - Deposit,Real Estate,REIT - Mortgage,,Unknown
AGNCP,AGNC Investment Corp. - Deposit,Real Estate,REIT - Mortgage,,Unknown
AGNCZ,AGNC Investment Corp. - Deposit,Real Estate,REIT - Mortgage,,Unknown
AGNG,Global X Aging Population ETF,,,,Unknown
AGPU,Axe Compute Inc.,Technology,Software - Infrastructure,24433322.0,Micro
AGRZ,Agroz Inc.,Consumer Defensive,Farm Products,17330118.0,Micro
AGYS,"Agilysys, Inc.",Technology,Software - Application,3406638848.0,Mid
AGZD,WisdomTree Interest Rate Hedged,,,,Unknown
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,1388099456.0,Small
AHG,Akso Health Group,Healthcare,Medical Distribution,768826304.0,Small
AHMA,Ambitions Enterprise Management,Consumer Cyclical,Travel Services,219370496.0,Micro
AIA,iShares Asia 50 ETF,,,,Unknown
AIFD,TCW Artificial Intelligence ETF,,,,Unknown
AIFF,"Firefly Neuroscience, Inc.",Technology,Software - Application,14572363.0,Micro
AIFU,AIFU Inc.,Financial Services,Insurance Brokers,59471500.0,Micro
AIHS,Senmiao Technology Limited,Industrials,Rental & Leasing Services,4990451.0,Micro
AIIO,Robo.ai Inc.,Consumer Cyclical,Auto Manufacturers,113097968.0,Micro
AIIOW,Robo.ai Inc.,,,,Unknown
AIMD,"Ainos, Inc.",Technology,Scientific & Technical Instruments,9403889.0,Micro
AIMDW,AINOS INC C/WTS 29/07/2027 (TO ,,,,Unknown
AIOT,"PowerFleet, Inc.",Technology,Software - Infrastructure,726667712.0,Small
AIP,"Arteris, Inc.",Technology,Semiconductors,695445632.0,Small
AIPI,REX AI Equity Premium Income ET,,,,Unknown
AIPO,Defiance AI & Power Infrastruct,,,,Unknown
AIQ,Global X Artificial Intelligenc,,,,Unknown
AIRE,reAlpha Tech Corp.,Real Estate,Real Estate Services,60781336.0,Micro
AIRG,"Airgain, Inc.",Technology,Communication Equipment,47832772.0,Micro
AIRJ,AirJoule Technologies Corporati,Industrials,Building Products & Equipment,233010064.0,Micro
AIRJW,AirJoule Technologies Corporation,,,,Unknown
AIRO,"AIRO Group Holdings, Inc.",Industrials,Aerospace & Defense,273595488.0,Micro
AIRR,First Trust RBA American Indust,,,,Unknown
AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,126746440.0,Micro
AIRT,"Air T, Inc.",Industrials,Conglomerates,52025820.0,Micro
AIRTP,"Air T, Inc. - Trust Preferred S",Industrials,Conglomerates,473350816.0,Small
AISP,"Airship AI Holdings, Inc",Technology,Software - Infrastructure,96716840.0,Micro
AISPW,"Airship AI Holdings, Inc.",,,,Unknown
AIXC,"AIxCrypto Holdings, Inc.",Technology,Software - Infrastructure,,Unknown
AIXI,XIAO-I Corporation,Technology,Software - Application,5642918.0,Micro
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,12720563200.0,Large
AKAN,Akanda Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,327730.0,Micro
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,440507552.0,Small
AKTX,Akari Therapeutics Plc,Healthcare,Biotechnology,9496047.0,Micro
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,28250818560.0,Large
ALAR,Alarum Technologies Ltd.,Technology,Software - Infrastructure,58655080.0,Micro
ALBT,Avalon GloboCare Corp.,Real Estate,Real Estate Services,5100695.0,Micro
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,280309824.0,Micro
ALCY,Alchemy Investments Acquisition,Financial Services,Shell Companies,50454448.0,Micro
ALCYU,Alchemy Investments Acquisition,Financial Services,Shell Companies,,Unknown
ALCYW,Alchemy Investments Acquisition,,,,Unknown
ALDF,Aldel Financial II Inc.,Financial Services,Shell Companies,313625216.0,Small
ALDFU,Aldel Financial II Inc.,Financial Services,Shell Companies,,Unknown
ALDFW,Aldel Financial II Inc. Warrant,,,,Unknown
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,319464320.0,Small
ALEC,"Alector, Inc.",Healthcare,Biotechnology,158269632.0,Micro
ALF,Centurion Acquisition Corp.,Financial Services,Shell Companies,381835936.0,Small
ALFUU,Centurion Acquisition Corp.,Financial Services,Shell Companies,,Unknown
ALFUW,Centurion Acquisition Corp. War,,,,Unknown
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,4974148608.0,Mid
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,11479665664.0,Large
ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,62212712.0,Micro
ALGT,Allegiant Travel Company,Industrials,Airlines,1553526656.0,Small
ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,3757723136.0,Mid
ALIL,Argent Focused Small Cap ETF,,,,Unknown
ALIS,Calisa Acquisition Corp,Financial Services,Shell Companies,83685080.0,Micro
ALISR,Calisa Acquisition Corp,,,,Unknown
ALISU,Calisa Acquisition Corp,Financial Services,Shell Companies,,Unknown
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,4704197632.0,Mid
ALKT,"Alkami Technology, Inc.",Technology,Software - Application,2429792768.0,Mid
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,310127584.0,Small
ALLR,"Allarity Therapeutics, Inc.",Healthcare,Biotechnology,17181204.0,Micro
ALLT,Allot Ltd.,Technology,Software - Infrastructure,448905472.0,Small
ALLW,SPDR Bridgewater All Weather ET,,,,Unknown
ALM,Almonty Industries Inc.,Basic Materials,Other Industrial Metals & Mining,2428949760.0,Mid
ALMS,Alumis Inc.,Healthcare,Biotechnology,1145195648.0,Small
ALMU,"Aeluma, Inc.",Technology,Semiconductors,322780896.0,Small
ALNT,Allient Inc.,Technology,Electronic Components,941380672.0,Small
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,52923473920.0,Large
ALOT,"AstroNova, Inc.",Technology,Computer Hardware,62635076.0,Micro
ALPS,ALPS Group Inc,,,164737440.0,Micro
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,2585579776.0,Mid
ALRS,Alerus Financial Corporation,Financial Services,Banks - Regional,552645312.0,Small
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,402761600.0,Small
ALTI,"AlTi Global, Inc.",Financial Services,Asset Management,693602688.0,Small
ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,234515040.0,Micro
ALTS,ALT5 Sigma Corporation,Technology,Software - Application,147437136.0,Micro
ALTY,Global X Alternative Income ETF,,,,Unknown
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,1639022080.0,Small
ALVOW,Alvotech Warrant,,,,Unknown
ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,72109944.0,Micro
ALZN,"Alzamend Neuro, Inc.",Healthcare,Biotechnology,7679242.0,Micro
AMAL,Amalgamated Financial Corp.,Financial Services,Banks - Regional,984867968.0,Small
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,208640655360.0,Large
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,3073804800.0,Mid
AMBR,Amber International Holding Lim,Technology,Software - Infrastructure,163945120.0,Micro
AMCI,AMC Robotics Corporation,Technology,Computer Hardware,183935712.0,Micro
AMCX,AMC Networks Inc.,Communication Services,Entertainment,426562336.0,Small
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,350012669952.0,Large
AMDD,Direxion Daily AMD Bear 1X Shar,,,,Unknown
AMDG,Leverage Shares 2X Long AMD Dai,,,,Unknown
AMDL,GraniteShares 2x Long AMD Daily,,,,Unknown
AMDU,Defiance Leveraged Long + Incom,,,,Unknown
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,179276349440.0,Large
AMID,Argent Mid Cap ETF,,,,Unknown
AMIX,"Autonomix Medical, Inc.",Healthcare,Medical Devices,3974678.0,Micro
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor Equipment & Materials,10033582080.0,Large
AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,Biotechnology,1354075264.0,Small
AMOD,"Alpha Modus Holdings, Inc.",Technology,Software - Application,21987018.0,Micro
AMODW,"Alpha Modus Holdings, Inc.",,,,Unknown
AMPG,"Amplitech Group, Inc.",Technology,Communication Equipment,60187812.0,Micro
AMPGW,"Amplitech Group, Inc.",,,,Unknown
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1260946560.0,Small
AMPL,"Amplitude, Inc.",Technology,Software - Application,1594876160.0,Small
AMRN,Amarin Corporation plc,Healthcare,Drug Manufacturers - General,294008544.0,Micro
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,4070999552.0,Mid
AMSC,American Superconductor Corpora,Industrials,Specialty Industrial Machinery,1455728256.0,Small
AMSF,"AMERISAFE, Inc.",Financial Services,Insurance - Specialty,731709824.0,Small
AMST,Amesite Inc.,Technology,Software - Application,9694151.0,Micro
AMTX,"Aemetis, Inc",Basic Materials,Specialty Chemicals,89173224.0,Micro
AMUN,abrdn Ultra Short Municipal Inc,,,,Unknown
AMUU,Direxion Daily AMD Bull 2X Shar,,,,Unknown
AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",800138816.0,Small
AMYY,GraniteShares YieldBOOST AMD ET,,,,Unknown
AMZD,Direxion Daily AMZN Bear 1X Sha,,,,Unknown
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2485688991744.0,Large
AMZU,Direxion Daily AMZN Bull 2X Sha,,,,Unknown
AMZZ,GraniteShares 2x Long AMZN Dail,,,,Unknown
ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,1401447168.0,Small
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,1824785920.0,Small
ANEB,"Anebulo Pharmaceuticals, Inc.",Healthcare,Biotechnology,46014900.0,Micro
ANEL,Defiance Daily Target 2x Long A,,,,Unknown
ANGH,Anghami Inc.,Communication Services,Entertainment,22118318.0,Micro
ANGHW,Anghami Inc. Warrants,,,,Unknown
ANGI,Angi Inc.,Communication Services,Internet Content & Information,561371776.0,Small
ANGL,VanEck Fallen Angel High Yield ,,,,Unknown
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,539717952.0,Small
ANIK,Anika Therapeutics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,137722640.0,Micro
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1850777728.0,Small
ANIX,"Anixa Biosciences, Inc.",Healthcare,Biotechnology,105334136.0,Micro
ANL,Adlai Nortye Ltd.,Healthcare,Biotechnology,60516440.0,Micro
ANNA,"AleAnna, Inc.",Energy,Oil & Gas E&P,115880656.0,Micro
ANNAW,"AleAnna, Inc. Warrant",,,,Unknown
ANNX,"Annexon, Inc.",Healthcare,Biotechnology,761675520.0,Small
ANPA,Rich Sparkle Holdings Limited,Industrials,Specialty Business Services,281124992.0,Micro
ANSC,Agriculture & Natural Solutions,Financial Services,Shell Companies,463874944.0,Small
ANSCU,Agriculture & Natural Solutions,Financial Services,Shell Companies,,Unknown
ANSCW,Agriculture & Natural Solutions,,,,Unknown
ANTA,Antalpha Platform Holding Compa,Financial Services,Credit Services,224936256.0,Micro
ANTX,"AN2 Therapeutics, Inc.",Healthcare,Biotechnology,31238306.0,Micro
ANY,Sphere 3D Corp.,Financial Services,Capital Markets,12179602.0,Micro
AOHY,Angel Oak High Yield Opportunit,,,,Unknown
AOSL,Alpha and Omega Semiconductor L,Technology,Semiconductors,605437568.0,Small
AOTG,AOT Growth and Innovation ETF,,,,Unknown
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,104798096.0,Micro
APA,APA Corporation,Energy,Oil & Gas E&P,8651277312.0,Mid
